Starting 1 populate thread(s) for 500000 items
Finished load of 500000 items
Load time: 0.16
load ops/sec: 3105590
Starting workload #1: 4 threads, inserts=0, modifies=0, reads=50, truncate=0, updates=50, throttle=0
0 inserts, 0 modifies, 223601 reads, 0 truncates, 223599 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (150 total secs)
0 inserts, 0 modifies, 319356 reads, 0 truncates, 319357 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (152 total secs)
0 inserts, 0 modifies, 316815 reads, 0 truncates, 316814 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (154 total secs)
0 inserts, 0 modifies, 204310 reads, 0 truncates, 204311 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (156 total secs)
0 inserts, 0 modifies, 316181 reads, 0 truncates, 316181 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (158 total secs)
0 inserts, 0 modifies, 296490 reads, 0 truncates, 296490 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (160 total secs)
0 inserts, 0 modifies, 307411 reads, 0 truncates, 307413 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (162 total secs)
0 inserts, 0 modifies, 274364 reads, 0 truncates, 274361 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (164 total secs)
0 inserts, 0 modifies, 224682 reads, 0 truncates, 224683 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (166 total secs)
0 inserts, 0 modifies, 320326 reads, 0 truncates, 320327 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (168 total secs)
0 inserts, 0 modifies, 245853 reads, 0 truncates, 245851 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (170 total secs)
0 inserts, 0 modifies, 317959 reads, 0 truncates, 317960 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (172 total secs)
0 inserts, 0 modifies, 322648 reads, 0 truncates, 322648 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (174 total secs)
