Starting 1 populate thread(s) for 500000 items
Finished load of 500000 items
Load time: 0.17
load ops/sec: 2923976
Starting workload #1: 4 threads, inserts=0, modifies=0, reads=50, truncate=0, updates=50, throttle=0
0 inserts, 0 modifies, 320864 reads, 0 truncates, 320864 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (124 total secs)
0 inserts, 0 modifies, 200047 reads, 0 truncates, 200048 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (126 total secs)
0 inserts, 0 modifies, 320535 reads, 0 truncates, 320536 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (128 total secs)
0 inserts, 0 modifies, 317040 reads, 0 truncates, 317041 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (130 total secs)
0 inserts, 0 modifies, 157960 reads, 0 truncates, 157958 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (132 total secs)
0 inserts, 0 modifies, 322823 reads, 0 truncates, 322823 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (134 total secs)
0 inserts, 0 modifies, 222201 reads, 0 truncates, 222202 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (136 total secs)
0 inserts, 0 modifies, 321196 reads, 0 truncates, 321196 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (138 total secs)
0 inserts, 0 modifies, 316540 reads, 0 truncates, 316541 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (140 total secs)
0 inserts, 0 modifies, 249764 reads, 0 truncates, 249764 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (142 total secs)
0 inserts, 0 modifies, 325397 reads, 0 truncates, 325396 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (144 total secs)
0 inserts, 0 modifies, 278086 reads, 0 truncates, 278085 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (146 total secs)
0 inserts, 0 modifies, 271105 reads, 0 truncates, 271108 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (148 total secs)
0 inserts, 0 modifies, 323881 reads, 0 truncates, 323881 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (150 total secs)
0 inserts, 0 modifies, 232038 reads, 0 truncates, 232036 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (152 total secs)
0 inserts, 0 modifies, 323249 reads, 0 truncates, 323247 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (154 total secs)
0 inserts, 0 modifies, 322228 reads, 0 truncates, 322229 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (156 total secs)
0 inserts, 0 modifies, 243104 reads, 0 truncates, 243105 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (158 total secs)
0 inserts, 0 modifies, 320412 reads, 0 truncates, 320410 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (160 total secs)
0 inserts, 0 modifies, 276092 reads, 0 truncates, 276095 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (162 total secs)
0 inserts, 0 modifies, 300135 reads, 0 truncates, 300134 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (164 total secs)
0 inserts, 0 modifies, 319185 reads, 0 truncates, 319186 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (166 total secs)
0 inserts, 0 modifies, 229111 reads, 0 truncates, 229110 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (168 total secs)
0 inserts, 0 modifies, 242496 reads, 0 truncates, 242495 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (170 total secs)
0 inserts, 0 modifies, 286292 reads, 0 truncates, 286292 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (172 total secs)
0 inserts, 0 modifies, 302594 reads, 0 truncates, 302595 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (174 total secs)
0 inserts, 0 modifies, 321208 reads, 0 truncates, 321208 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (176 total secs)
0 inserts, 0 modifies, 168406 reads, 0 truncates, 168406 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (178 total secs)
0 inserts, 0 modifies, 319060 reads, 0 truncates, 319061 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (180 total secs)
0 inserts, 0 modifies, 211470 reads, 0 truncates, 211469 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (182 total secs)
