Starting 1 populate thread(s) for 500000 items
Finished load of 500000 items
Load time: 0.17
load ops/sec: 2923976
Starting workload #1: 4 threads, inserts=0, modifies=0, reads=50, truncate=0, updates=50, throttle=0
0 inserts, 0 modifies, 183841 reads, 0 truncates, 183843 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (148 total secs)
0 inserts, 0 modifies, 224702 reads, 0 truncates, 224702 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (150 total secs)
0 inserts, 0 modifies, 159030 reads, 0 truncates, 159030 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (152 total secs)
0 inserts, 0 modifies, 195237 reads, 0 truncates, 195238 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (154 total secs)
0 inserts, 0 modifies, 225483 reads, 0 truncates, 225481 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (156 total secs)
0 inserts, 0 modifies, 185149 reads, 0 truncates, 185149 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (158 total secs)
0 inserts, 0 modifies, 223182 reads, 0 truncates, 223183 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (160 total secs)
0 inserts, 0 modifies, 160568 reads, 0 truncates, 160569 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (162 total secs)
0 inserts, 0 modifies, 218099 reads, 0 truncates, 218098 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (164 total secs)
0 inserts, 0 modifies, 224403 reads, 0 truncates, 224403 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (166 total secs)
0 inserts, 0 modifies, 197299 reads, 0 truncates, 197297 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (168 total secs)
0 inserts, 0 modifies, 226775 reads, 0 truncates, 226778 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (170 total secs)
0 inserts, 0 modifies, 146983 reads, 0 truncates, 146982 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (172 total secs)
0 inserts, 0 modifies, 223412 reads, 0 truncates, 223413 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (174 total secs)
0 inserts, 0 modifies, 224743 reads, 0 truncates, 224743 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (176 total secs)
